"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912796X95","Bill","26-Week","07/05/2022","07/07/2022","01/05/2023","98.736111"
"912796X46","Bill","4-Week","06/30/2022","07/05/2022","08/02/2022","99.903556"
"912796XP9","Bill","8-Week","06/30/2022","07/05/2022","08/30/2022","99.743333"
"912796YG8","Bill","119-Day","06/29/2022","07/05/2022","11/01/2022","99.277736"
"91282CEV9","Note","7-Year","06/28/2022","06/30/2022","06/30/2029","99.813719"
"912796U64","Bill","13-Week","06/27/2022","06/30/2022","09/29/2022","99.557639"
"912796R27","Bill","26-Week","06/27/2022","06/30/2022","12/29/2022","98.736111"
"91282CEX5","Note","2-Year","06/27/2022","06/30/2022","06/30/2024","99.838282"
"91282CEW7","Note","5-Year","06/27/2022","06/30/2022","06/30/2027","99.903859"
"91282CEJ6","Note","4-Year 10-Month","06/23/2022","06/30/2022","04/15/2027","101.224234"
"912796X38","Bill","4-Week","06/23/2022","06/28/2022","07/26/2022","99.914444"
"912796XN4","Bill","8-Week","06/23/2022","06/28/2022","08/23/2022","99.766667"
"912810TH1","Bond","19-Year 11-Month","06/22/2022","06/30/2022","05/15/2042","96.603091"
"912796YF0","Bill","119-Day","06/22/2022","06/28/2022","10/25/2022","99.319056"
"91282CEL1","Note","1-Year 10-Month","06/22/2022","06/24/2022","04/30/2024","99.866853"
"912796U56","Bill","13-Week","06/21/2022","06/23/2022","09/22/2022","99.577861"
"912796X87","Bill","26-Week","06/21/2022","06/23/2022","12/22/2022","98.791722"
"912796X20","Bill","4-Week","06/16/2022","06/21/2022","07/19/2022","99.908222"
"912796XM6","Bill","8-Week","06/16/2022","06/21/2022","08/16/2022","99.771333"
"912796YE3","Bill","119-Day","06/15/2022","06/21/2022","10/18/2022","99.309139"
"912796X53","Bill","52-Week","06/14/2022","06/16/2022","06/15/2023","96.946444"
"912796U49","Bill","13-Week","06/13/2022","06/16/2022","09/15/2022","99.585444"
"912796X79","Bill","26-Week","06/13/2022","06/16/2022","12/15/2022","98.908000"
"912810TG3","Bond","29-Year 11-Month","06/09/2022","06/15/2022","05/15/2052","94.045539"
"912796W96","Bill","4-Week","06/09/2022","06/14/2022","07/12/2022","99.919111"
"912796XL8","Bill","8-Week","06/09/2022","06/14/2022","08/09/2022","99.821111"
"91282CEP2","Note","9-Year 11-Month","06/08/2022","06/15/2022","05/15/2032","98.677928"
"912796YD5","Bill","119-Day","06/08/2022","06/14/2022","10/11/2022","99.500861"
"91282CEU1","Note","3-Year","06/07/2022","06/15/2022","06/15/2025","99.851689"
"912796M71","Bill","13-Week","06/06/2022","06/09/2022","09/08/2022","99.689083"
"912796X61","Bill","26-Week","06/06/2022","06/09/2022","12/08/2022","99.135500"
"912796W88","Bill","4-Week","06/02/2022","06/07/2022","07/05/2022","99.933111"
"912796X46","Bill","8-Week","06/02/2022","06/07/2022","08/02/2022","99.838222"
"912796YC7","Bill","119-Day","06/01/2022","06/07/2022","10/04/2022","99.540528"
"912796T66","Bill","13-Week","05/31/2022","06/02/2022","09/01/2022","99.716889"
"912796P94","Bill","26-Week","05/31/2022","06/02/2022","12/01/2022","99.201222"
"912796W39","Bill","4-Week","05/26/2022","05/31/2022","06/28/2022","99.942444"
"912796X38","Bill","8-Week","05/26/2022","05/31/2022","07/26/2022","99.857667"
"91282CES6","Note","7-Year","05/26/2022","05/31/2022","05/31/2029","99.829306"
"912796XX2","Bill","119-Day","05/25/2022","05/31/2022","09/27/2022","99.576889"
"91282CET4","Note","5-Year","05/25/2022","05/31/2022","05/31/2027","99.484571"
"91282CEL1","Note","1-Year 11-Month","05/25/2022","05/27/2022","04/30/2024","99.854908"
"91282CER8","Note","2-Year","05/24/2022","05/31/2022","05/31/2024","99.963167"
"912796T58","Bill","13-Week","05/23/2022","05/26/2022","08/25/2022","99.732056"
"912796W70","Bill","26-Week","05/23/2022","05/26/2022","11/25/2022","99.222250"
"91282CDX6","Note","9-Year 8-Month","05/19/2022","05/31/2022","01/15/2032","102.616800"
"912796W21","Bill","4-Week","05/19/2022","05/24/2022","06/21/2022","99.950222"
